id,content,options,type,answer
90,米莱狄的眼罩是什么样式的？,"{""A"":""三角形"",""B"":""圆形"",""C"":""方形"",""D"":""心形""}",5,A
91,下面哪个英雄跳舞最厉害？,"{""A"":""杨玉环"",""B"":""明世隐"",""C"":""裴擒虎"",""D"":""公孙离""}",5,D
92,明世隐最擅长种什么花？,"{""A"":""玫瑰花"",""B"":""牡丹花"",""C"":""郁金香"",""D"":""樱花""}",5,B
93,梦奇有几根手指？,"{""A"":""2"",""B"":""3"",""C"":""4"",""D"":""5""}",5,C
94,下面哪个英雄不常用扇子？,"{""A"":""不知火舞"",""B"":""小乔"",""C"":""诸葛亮"",""D"":""张良""}",5,D
95,鬼谷子最喜欢做什么？,"{""A"":""唱歌"",""B"":""传授知识"",""C"":""打扫卫生"",""D"":""睡觉""}",5,B
96,干将痴迷铸造什么武器？,"{""A"":""刀"",""B"":""斧头"",""C"":""剑"",""D"":""匕首""}",5,C
97,下面哪个英雄头上没有角？,"{""A"":""瑶"",""B"":""敖隐"",""C"":""东皇太一"",""D"":""云中君""}",5,D
98,下面哪个英雄是光头？,"{""A"":""达摩"",""B"":""狄仁杰"",""C"":""李信"",""D"":""裴擒虎""}",5,A
99,下面哪个英雄没有坐骑？,"{""A"":""庄周"",""B"":""蔡文姬"",""C"":""刘禅"",""D"":""钟馗""}",5,D
100,下面哪个英雄语言天赋最厉害？,"{""A"":""张良"",""B"":""姜子牙"",""C"":""鬼谷子"",""D"":""庄周""}",5,A
101,下面哪个英雄在推理方面很厉害？,"{""A"":""云缨"",""B"":""狄仁杰"",""C"":""裴擒虎"",""D"":""公孙离""}",5,B
102,钟无艳的武器是什么？,"{""A"":""锤子"",""B"":""斧头"",""C"":""匕首"",""D"":""刀剑""}",5,A
103,下面哪个英雄胡子最短？,"{""A"":""老夫子"",""B"":""廉颇"",""C"":""明世隐"",""D"":""黄忠""}",5,C
104,下面哪个英雄年纪最大？,"{""A"":""张飞"",""B"":""刘备"",""C"":""关羽"",""D"":""廉颇""}",5,D
105,下面哪个英雄不会乐器？,"{""A"":""杨玉环"",""B"":""高渐离"",""C"":""蔡文姬"",""D"":""朵莉亚""}",5,D
106,妲己有一双什么耳朵？,"{""A"":""狐狸耳朵"",""B"":""兔子耳朵"",""C"":""猫耳朵"",""D"":""狗耳朵""}",5,A
107,下面哪个英雄出身平凡？,"{""A"":""夏洛特"",""B"":""艾琳"",""C"":""大乔"",""D"":""西施""}",5,D
108,刘备帽子上站了一只什么动物？,"{""A"":""小猫"",""B"":""小狗"",""C"":""小鸟"",""D"":""小兔子""}",5,C
109,桑启是从哪里掉出来的？,"{""A"":""森林里"",""B"":""壁画里"",""C"":""云层中"",""D"":""沙子中""}",3,B
110,桑启的家乡鸣沙，永远存在于哪里？,"{""A"":""有故事的地方"",""B"":""有沙子的地方"",""C"":""有石林的地方"",""D"":""有草地的地方""}",3,A
111,桑启是被谁发现的？,"{""A"":""伽罗和兰陵王"",""B"":""花木兰和伽罗"",""C"":""玄策和兰陵王"",""D"":""伽罗和百里守约""}",3,A
112,桑启的家乡鸣沙，在哪个区域？,"{""A"":""云中漠地"",""B"":""日落海"",""C"":""云梦泽"",""D"":""三分之地""}",3,A
113,鸣沙的关键词不包含下列哪个？,"{""A"":""故事"",""B"":""萤火"",""C"":""希望"",""D"":""美酒""}",3,D
114,桑启为什么离开了鸣沙？,"{""A"":""寻找美食"",""B"":""和家人吵架"",""C"":""迷路"",""D"":""寻找故事""}",3,D
115,千窟城是谁的家乡？,"{""A"":""桑启"",""B"":""兰陵王"",""C"":""花木兰"",""D"":""伽罗""}",4,D
116,千窟城汇聚了哪种人才？,"{""A"":""厨师"",""B"":""学者"",""C"":""法师"",""D"":""战士""}",4,B
117,桑启最喜欢千窟城的哪个地方？,"{""A"":""问心石窟"",""B"":""万卷窟"",""C"":""胡桐林"",""D"":""起源石窟""}",4,C
118,千窟城最多的是什么？,"{""A"":""典籍"",""B"":""美酒"",""C"":""乐器"",""D"":""机关""}",4,A
119,千窟城差点毁于烈火，是因为什么？,"{""A"":""天灾"",""B"":""魔种"",""C"":""流星雨"",""D"":""马贼""}",4,B
120,千窟城的名字来源于什么？,"{""A"":""皮影戏"",""B"":""漏水"",""C"":""石窟"",""D"":""四处漏风""}",4,C
121,千窟城位于哪个区域？,"{""A"":""云梦泽"",""B"":""稷下"",""C"":""日落海"",""D"":""云中漠地""}",4,D
122,胡桐林在千窟城的哪个位置,"{""A"":""城中心"",""B"":""城外"",""C"":""地下"",""D"":""天上""}",4,B
123,长安城的特产是什么？,"{""A"":""酒、牡丹和机关"",""B"":""魔道人偶、海螺和酒"",""C"":""烤肉、书籍和美酒"",""D"":""魔法、美酒和诗歌""}",4,A
124,以下哪个体验是无法在长安找到的？,"{""A"":""上元节"",""B"":""万国盛会"",""C"":""鸿胪演舞"",""D"":""开海节""}",4,D
125,长安城是由谁建造的？,"{""A"":""女帝"",""B"":""狄仁杰"",""C"":""墨子"",""D"":""李白""}",4,C
126,长安坐落于什么地形之上？,"{""A"":""平原"",""B"":""丘陵"",""C"":""沼泽"",""D"":""沙漠""}",4,A
127,长安是一个怎样的城市？,"{""A"":""自然"",""B"":""繁华"",""C"":""贫瘠"",""D"":""冒险""}",4,B
128,长安的建筑基底是什么呢？,"{""A"":""万象天工"",""B"":""魔法核心"",""C"":""万卷书库"",""D"":""冰雪核心""}",4,A
129,长安现在的统治者是谁？,"{""A"":""李白"",""B"":""狄仁杰"",""C"":""云缨"",""D"":""武氏""}",4,D
130,长安大理寺的领头人是谁？,"{""A"":""李白"",""B"":""狄仁杰"",""C"":""云缨"",""D"":""上官婉儿""}",2,B
131,谁是长安城里的八卦达人？,"{""A"":""公孙离"",""B"":""云缨"",""C"":""李元芳"",""D"":""裴擒虎""}",2,C
132,长安的云缨和李元芳在哪个比试得了第一名？,"{""A"":""归墟梦演"",""B"":""大胃王比赛"",""C"":""灯谜大会"",""D"":""鸿胪演武""}",2,D
133,鸿胪演武之中，云缨是怎么飞起来的？,"{""A"":""被李元芳弹飞"",""B"":""触发了机关"",""C"":""旋转自己的长枪"",""D"":""超强弹跳力""}",2,C
134,长安大理寺是干什么的机构？,"{""A"":""教书"",""B"":""消防"",""C"":""探案"",""D"":""装修""}",2,C
135,在长安，以下几个人，谁最严肃？,"{""A"":""狄仁杰"",""B"":""李元芳"",""C"":""云缨"",""D"":""裴擒虎""}",2,A
136,在长安，以下几个人，谁最有可能不小心踩塌房顶？,"{""A"":""明世隐"",""B"":""李元芳"",""C"":""云缨"",""D"":""公孙离""}",2,C
137,尧天组织中，阿离的特长是？,"{""A"":""舞蹈"",""B"":""厨艺"",""C"":""琵琶"",""D"":""下棋""}",2,A
138,以下谁不是尧天的成员？,"{""A"":""明世隐"",""B"":""弈星"",""C"":""上官婉儿"",""D"":""公孙离""}",2,C
139,裴擒虎除了是尧天的成员，还曾经加入过哪个势力？,"{""A"":""长城守卫军"",""B"":""冒险协会"",""C"":""沙之盟"",""D"":""海都小分队""}",2,A
140,尧天组织中，杨玉环的特长是？,"{""A"":""拳脚"",""B"":""厨艺"",""C"":""琵琶"",""D"":""下棋""}",2,C
141,尧天组织的领导者是谁？,"{""A"":""公孙离"",""B"":""明世隐"",""C"":""弈星"",""D"":""裴擒虎""}",2,B
142,云梦泽的区域地形是什么形态？,"{""A"":""一座高耸的山"",""B"":""一颗巨大的树"",""C"":""一个宽广的湖"",""D"":""一片荒芜的沙漠""}",4,B
143,云梦泽的天穹是谁建造的？,"{""A"":""女娲"",""B"":""云中君"",""C"":""大司命"",""D"":""姜子牙""}",4,A
144,云梦泽的东皇太一是哪个势力的成员？,"{""A"":""尧天"",""B"":""占卜协会"",""C"":""全知者"",""D"":""沙之盟""}",4,C
145,云梦泽潜藏的危险是什么？,"{""A"":""火灾"",""B"":""雪灾"",""C"":""枯灾"",""D"":""海啸""}",4,C
146,以下角色中，谁不是云梦泽的人？,"{""A"":""少司缘"",""B"":""桑启"",""C"":""瑶"",""D"":""大司命""}",4,B
147,海都的代表美食是什么？,"{""A"":""日落海拼盘"",""B"":""海螺烤串"",""C"":""盐焗翻车鱼"",""D"":""苹果酒""}",4,A
148,日落海的地理位置在？,"{""A"":""云中的西方"",""B"":""长安的东边"",""C"":""云层之上"",""D"":""长安的南方""}",4,A
149,海都的掌权者是谁？,"{""A"":""亚瑟"",""B"":""狂铁"",""C"":""米莱狄"",""D"":""艾琳""}",4,C
150,哪个经历在海都是体验不到的？,"{""A"":""海上市集"",""B"":""上元节"",""C"":""海诞节"",""D"":""开海节""}",4,B
151,以下角色中，谁最不可能和狂铁成为朋友？,"{""A"":""姬小满"",""B"":""马可波罗"",""C"":""米莱狄"",""D"":""海都商贩""}",4,C
152,以下角色中，谁来自海都？,"{""A"":""姬小满"",""B"":""马可波罗"",""C"":""伽罗"",""D"":""孙策""}",4,B
153,海都小分队中，谁是来自东方的人？,"{""A"":""姬小满"",""B"":""莱西奥"",""C"":""狂铁"",""D"":""朵莉亚""}",2,A
154,海都小分队中，谁最有可能偷走姬小满的小鱼干？,"{""A"":""莱西奥"",""B"":""狂铁"",""C"":""朵莉亚"",""D"":""海诺""}",2,B
155,海都小分队里，传闻中的火鹰船长是谁？,"{""A"":""马可波罗"",""B"":""莱西奥"",""C"":""狂铁"",""D"":""朵莉亚""}",2,B
156,海都小分队的冒险，在哪里展开？,"{""A"":""海上"",""B"":""沙漠"",""C"":""云端"",""D"":""森林""}",2,A
157,海都小分队中，谁最有可能嫌弃其他人“幼稚”？,"{""A"":""莱西奥"",""B"":""狂铁"",""C"":""朵莉亚"",""D"":""海诺""}",2,D
158,稷下学院的校训是什么？,"{""A"":""自己告诉自己真理"",""B"":""没有永远的敌人"",""C"":""学习，不如睡大觉！"",""D"":""读万卷书，行万里路""}",4,A
159,稷下学院最帅的人是谁？（曜的笔迹）,"{""A"":""曜"",""B"":""诸葛亮（没我帅）"",""C"":""周瑜（也就那样吧……？）"",""D"":""蒙犽（哈哈……）""}",4,A
160,去稷下学院的方式是什么？,"{""A"":""弹射起飞！"",""B"":""机关车"",""C"":""缆车"",""D"":""共享马车""}",4,C
161,以下角色中，哪个不是稷下的老师？,"{""A"":""姜子牙"",""B"":""庄周"",""C"":""老夫子"",""D"":""墨子""}",4,A
162,以下哪一门不属于稷下学院的入学考试？,"{""A"":""魔道"",""B"":""舞蹈"",""C"":""武道"",""D"":""机关道""}",4,B
163,长城守卫军成员百里玄策的师傅是谁？,"{""A"":""兰陵王"",""B"":""花木兰"",""C"":""伽罗"",""D"":""百里守约""}",2,A
164,长城守卫军的队长是谁？,"{""A"":""花木兰"",""B"":""百里守约"",""C"":""铠"",""D"":""兰陵王""}",2,A
165,长城守卫军里，蔬菜吃的最多的是谁？,"{""A"":""百里守约"",""B"":""百里玄策"",""C"":""花木兰"",""D"":""铠""}",2,B
166,长城守卫军里，谁掌握了魔铠之力？,"{""A"":""花木兰"",""B"":""铠"",""C"":""百里玄策"",""D"":""百里守约""}",2,B
